# r[L0]  F[rad]  Fp[rad/L0]
5.248959999999988080e-01 2.105975169129623570e+00 -1.103815176144859578e+00
5.298949999999987837e-01 2.100466203468598803e+00 -1.100221898323811009e+00
5.348939999999987593e-01 2.094975051770860741e+00 -1.096687926061109764e+00
5.398929999999987350e-01 2.089501421118320046e+00 -1.093211846704387424e+00
5.448919999999987107e-01 2.084045025539549734e+00 -1.089792293360150710e+00
5.498909999999986864e-01 2.078605585785831877e+00 -1.086427942991347706e+00
5.548899999999986621e-01 2.073182829116475112e+00 -1.083117514610080434e+00
5.598889999999986378e-01 2.067776489092939762e+00 -1.079859767559891770e+00
5.648879999999986135e-01 2.062386305381338936e+00 -1.076653499882425535e+00
5.698869999999985891e-01 2.057012023562902137e+00 -1.073497546763607868e+00
5.748859999999985648e-01 2.051653394952017262e+00 -1.070390779054812169e+00
5.798849999999985405e-01 2.046310176421487714e+00 -1.067332101864769012e+00
5.848839999999985162e-01 2.040982130234659575e+00 -1.064320453218255080e+00
5.898829999999984919e-01 2.035669023884093765e+00 -1.061354802777847661e+00
5.948819999999984676e-01 2.030370629936479876e+00 -1.058434150625271686e+00
5.998809999999984433e-01 2.025086725883499028e+00 -1.055557526099078824e+00
6.048799999999984189e-01 2.019817093998362179e+00 -1.052723986685607738e+00
6.098789999999983946e-01 2.014561521197765437e+00 -1.049932616960359555e+00
6.148779999999983703e-01 2.009319798909017685e+00 -1.047182527577100508e+00
6.198769999999983460e-01 2.004091722942107801e+00 -1.044472854302167075e+00
6.248759999999983217e-01 1.998877093366490998e+00 -1.041802757091602194e+00
6.298749999999982974e-01 1.993675714392385556e+00 -1.039171419208891667e+00
6.348739999999982730e-01 1.988487394256384100e+00 -1.036578046381205320e+00
6.398729999999982487e-01 1.983311945111189578e+00 -1.034021865992168943e+00
6.448719999999982244e-01 1.978149182919300086e+00 -1.031502126309309375e+00
6.498709999999982001e-01 1.972998927350472442e+00 -1.029018095744422601e+00
6.548699999999981758e-01 1.967861001682803757e+00 -1.026569062145217703e+00
6.598689999999981515e-01 1.962735232707280231e+00 -1.024154332116681054e+00
6.648679999999981272e-01 1.957621450635646188e+00 -1.021773230370695007e+00
6.698669999999981028e-01 1.952519489011457221e+00 -1.019425099102527987e+00
6.748659999999980785e-01 1.947429184624185350e+00 -1.017109297392889689e+00
6.798649999999980542e-01 1.942350377426252939e+00 -1.014825200634318803e+00
6.848639999999980299e-01 1.937282910452875040e+00 -1.012572199980736443e+00
6.898629999999980056e-01 1.932226629744597357e+00 -1.010349701819065693e+00
6.948619999999979813e-01 1.927181384272423470e+00 -1.008157127261873898e+00
6.998609999999979570e-01 1.922147025865427850e+00 -1.005993911660052476e+00
7.048599999999979326e-01 1.917123409140756074e+00 -1.003859504134603009e+00
7.098589999999979083e-01 1.912110391435920320e+00 -1.001753367126644756e+00
7.148579999999978840e-01 1.907107832743300868e+00 -9.996749759648076994e-01
7.198569999999978597e-01 1.902115595646767687e+00 -9.976238184492197680e-01
7.248559999999978354e-01 1.897133545260341725e+00 -9.955993944513353844e-01
7.298549999999978111e-01 1.892161549168819734e+00 -9.936012155288939107e-01
